model,model_size,train_type,lambda,seed,split,snr,noise_type,num_samples,wer,cer,ter,der,fcer,swdr,checkpoint_path,prediction_path
phowhisper,base,tone_aware_lora,0.3,42,noisy,0,speech,62,0.6627118644067796,0.4723008491710473,0.6220338983050847,0.5916398713826366,0.3475177304964539,0.01639344262295082,outputs\phat\checkpoints\ckpt_tone_lora_lambda_03\final,outputs\phat\predictions\pred_tone_lora_lambda_03.csv
phowhisper,base,tone_aware_lora,0.3,42,noisy,10,music,97,0.09371980676328502,0.04510599909788002,0.06183574879227053,0.016375545851528384,0.04789272030651341,0.0,outputs\phat\checkpoints\ckpt_tone_lora_lambda_03\final,outputs\phat\predictions\pred_tone_lora_lambda_03.csv
phowhisper,base,tone_aware_lora,0.3,42,noisy,10,noise,139,0.10518834399431415,0.0477792732166891,0.06538734896943853,0.013900245298446443,0.058992805755395686,0.011152416356877323,outputs\phat\checkpoints\ckpt_tone_lora_lambda_03\final,outputs\phat\predictions\pred_tone_lora_lambda_03.csv
phowhisper,base,tone_aware_lora,0.3,42,noisy,10,speech,64,0.11935483870967742,0.07322743122820612,0.10161290322580645,0.052346570397111915,0.050505050505050504,0.0,outputs\phat\checkpoints\ckpt_tone_lora_lambda_03\final,outputs\phat\predictions\pred_tone_lora_lambda_03.csv
phowhisper,base,tone_aware_lora,0.3,42,noisy,20,music,96,0.07079646017699115,0.03219871205151794,0.049164208456243856,0.013918629550321198,0.025096525096525095,0.01098901098901099,outputs\phat\checkpoints\ckpt_tone_lora_lambda_03\final,outputs\phat\predictions\pred_tone_lora_lambda_03.csv
phowhisper,base,tone_aware_lora,0.3,42,noisy,20,noise,145,0.08247422680412371,0.03919028340080972,0.08109965635738832,0.016548463356973995,0.05089408528198074,0.0,outputs\phat\checkpoints\ckpt_tone_lora_lambda_03\final,outputs\phat\predictions\pred_tone_lora_lambda_03.csv
phowhisper,base,tone_aware_lora,0.3,42,noisy,20,speech,59,0.14067796610169492,0.06444991789819376,0.06779661016949153,0.03529411764705882,0.07806691449814127,0.008547008547008548,outputs\phat\checkpoints\ckpt_tone_lora_lambda_03\final,outputs\phat\predictions\pred_tone_lora_lambda_03.csv
phowhisper,base,tone_aware_lora,0.3,42,noisy,5,music,108,0.1298819255222525,0.06248662529424353,0.07811080835603997,0.022292993630573247,0.09302325581395349,0.014563106796116505,outputs\phat\checkpoints\ckpt_tone_lora_lambda_03\final,outputs\phat\predictions\pred_tone_lora_lambda_03.csv
phowhisper,base,tone_aware_lora,0.3,42,noisy,5,noise,127,0.11162079510703364,0.057506824385805275,0.07186544342507645,0.019538188277087035,0.06847133757961783,0.003968253968253968,outputs\phat\checkpoints\ckpt_tone_lora_lambda_03\final,outputs\phat\predictions\pred_tone_lora_lambda_03.csv
phowhisper,base,tone_aware_lora,0.3,42,noisy,5,speech,65,0.28024502297090353,0.18380508778215693,0.21439509954058192,0.138671875,0.13149847094801223,0.009433962264150943,outputs\phat\checkpoints\ckpt_tone_lora_lambda_03\final,outputs\phat\predictions\pred_tone_lora_lambda_03.csv
phowhisper,base,tone_aware_lora,0.5,42,all,all,all,1500,0.15480078380143697,0.08803148391079559,0.11874591770084912,0.0495460237946149,0.08560105680317041,0.006028368794326241,outputs\phat\checkpoints\ckpt_tone_lora_lambda_05\final,outputs\phat\predictions\pred_tone_lora_lambda_05.csv
phowhisper,base,tone_aware_lora,0.5,42,clean,clean,clean,300,0.08785107772697583,0.03873755691025542,0.06466361854996734,0.01593182660244535,0.04689564068692206,0.005319148936170213,outputs\phat\checkpoints\ckpt_tone_lora_lambda_05\final,outputs\phat\predictions\pred_tone_lora_lambda_05.csv
phowhisper,base,tone_aware_lora,0.5,42,noisy,noisy_all,all,1200,0.17153821032005226,0.10035496566093063,0.13226649248856956,0.05854917138037114,0.0952774108322325,0.0062056737588652485,outputs\phat\checkpoints\ckpt_tone_lora_lambda_05\final,outputs\phat\predictions\pred_tone_lora_lambda_05.csv
