dataset,model,model_size,train_type,lambda,seed,snr,n,wer,cer,ter,der,fcer,swdr,metric_version,prediction_sha256,benchmark_manifest_sha256,benchmark_manifest_format,wer_numerator,wer_denominator,cer_numerator,cer_denominator,ter_numerator,ter_denominator,der_numerator,der_denominator,fcer_numerator,fcer_denominator,swdr_numerator,swdr_denominator,ter_coverage,der_coverage,fcer_coverage
vivos,phowhisper,tiny,zero_shot,,42,5,460,0.22446351931330472,0.12810417928528164,0.02772785622593068,0.012487257900101937,0.14713430282292558,0.004405286343612335,aligned_v1,e167ebf7d5cdea12cc706cf95280b9334c17a6596cd38f0fcd64001413c1795d,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,1046,4660,2538,19812,108,3895,49,3924,344,2338,1,227,0.8358369098712446,0.8420600858369098,0.5017167381974249
vivos,phowhisper,tiny,zero_shot,,42,0,460,0.3688841201716738,0.23551383000201898,0.03884057971014493,0.011634671320535195,0.26228831061544816,0.004405286343612335,aligned_v1,e167ebf7d5cdea12cc706cf95280b9334c17a6596cd38f0fcd64001413c1795d,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,1719,4660,4666,19812,134,3450,40,3438,635,2421,1,227,0.740343347639485,0.7377682403433476,0.5195278969957081
vivos,phowhisper,tiny,zero_shot,,42,noisy_all,1840,0.21099785407725322,0.12202200686452655,0.02452350698856417,0.009813232035454257,0.14532282122309823,0.004405286343612335,aligned_v1,e167ebf7d5cdea12cc706cf95280b9334c17a6596cd38f0fcd64001413c1795d,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,3933,18640,9670,79248,386,15740,155,15795,1364,9386,4,908,0.8444206008583691,0.8473712446351931,0.5035407725321889
vivos,phowhisper,tiny,zero_shot,,42,all,2300,0.18914163090128755,0.10685443165758127,0.022585319542297505,0.008964589870013447,0.12923366404379064,0.004405286343612335,aligned_v1,e167ebf7d5cdea12cc706cf95280b9334c17a6596cd38f0fcd64001413c1795d,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,4407,23300,10585,99060,452,20013,180,20079,1511,11692,5,1135,0.8589270386266095,0.8617596566523605,0.5018025751072961
vivos,whisper,base,zero_shot,,42,clean,460,0.4012875536480687,0.2045225116091258,0.11288805268109126,0.031746031746031744,0.27311101730688053,0.01762114537444934,aligned_v1,f84cc1be099226c6e0a5e7a32e23e66748a4f797114a1e75dbda6124eae6f45a,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,1870,4660,4052,19812,360,3189,100,3150,647,2369,4,227,0.6843347639484979,0.6759656652360515,0.5083690987124464
vivos,whisper,base,zero_shot,,42,20,460,0.3997854077253219,0.2039672925499697,0.1089763779527559,0.03400063552589768,0.2805907172995781,0.013215859030837005,aligned_v1,f84cc1be099226c6e0a5e7a32e23e66748a4f797114a1e75dbda6124eae6f45a,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,1863,4660,4041,19812,346,3175,107,3147,665,2370,3,227,0.6813304721030042,0.6753218884120171,0.5085836909871244
vivos,whisper,base,zero_shot,,42,10,460,0.4791845493562232,0.2673632142136079,0.12004034969737727,0.03827913279132791,0.32666666666666666,0.030837004405286344,aligned_v1,f84cc1be099226c6e0a5e7a32e23e66748a4f797114a1e75dbda6124eae6f45a,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,2233,4660,5297,19812,357,2974,113,2952,784,2400,7,227,0.6381974248927038,0.6334763948497855,0.5150214592274678
vivos,whisper,base,zero_shot,,42,5,460,0.5748927038626609,0.35049464970724814,0.1352622061482821,0.03694126339120798,0.380327868852459,0.022026431718061675,aligned_v1,f84cc1be099226c6e0a5e7a32e23e66748a4f797114a1e75dbda6124eae6f45a,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,2679,4660,6944,19812,374,2765,100,2707,928,2440,5,227,0.5933476394849786,0.5809012875536481,0.5236051502145923
vivos,whisper,base,zero_shot,,42,0,460,0.8435622317596566,0.5811124570967091,0.19802867383512546,0.0392349190779794,0.5400710619818397,0.06607929515418502,aligned_v1,f84cc1be099226c6e0a5e7a32e23e66748a4f797114a1e75dbda6124eae6f45a,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,3931,4660,11513,19812,442,2232,80,2039,1368,2533,15,227,0.47896995708154505,0.43755364806866953,0.5435622317596567
vivos,whisper,base,zero_shot,,42,noisy_all,1840,0.5743562231759657,0.3507344033918837,0.13628207428673964,0.036883356385431075,0.3843785281740737,0.03303964757709251,aligned_v1,f84cc1be099226c6e0a5e7a32e23e66748a4f797114a1e75dbda6124eae6f45a,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,10706,18640,27795,79248,1519,11146,400,10845,3745,9743,30,908,0.597961373390558,0.58181330472103,0.5226931330472103
vivos,whisper,base,zero_shot,,42,all,2300,0.5397424892703863,0.32149202503533214,0.13107778165329612,0.03572704537334762,0.36261558784676357,0.029955947136563875,aligned_v1,f84cc1be099226c6e0a5e7a32e23e66748a4f797114a1e75dbda6124eae6f45a,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,12576,23300,31847,99060,1879,14335,500,13995,4392,12112,34,1135,0.6152360515021459,0.6006437768240344,0.5198283261802575
vivos,whisper,small,zero_shot,,42,clean,460,0.24549356223175967,0.12522713506965474,0.06183932346723044,0.019230769230769232,0.15268817204301074,0.02643171806167401,aligned_v1,eef4a0ca75df1afd37ed0fb45c7c072ef25fd7a09b49766b670a7810211ce1bc,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,1144,4660,2481,19812,234,3784,72,3744,355,2325,6,227,0.8120171673819743,0.8034334763948497,0.4989270386266094
vivos,whisper,small,zero_shot,,42,20,460,0.244206008583691,0.12452049263072885,0.0578709848685957,0.022174726155490248,0.15884631941455016,0.02643171806167401,aligned_v1,eef4a0ca75df1afd37ed0fb45c7c072ef25fd7a09b49766b670a7810211ce1bc,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,1138,4660,2467,19812,218,3767,83,3743,369,2323,6,227,0.8083690987124463,0.8032188841201717,0.4984978540772532
vivos,whisper,small,zero_shot,,42,10,460,0.27145922746781115,0.14304461942257218,0.058694459681843114,0.021253105161468396,0.18568994889267462,0.02643171806167401,aligned_v1,eef4a0ca75df1afd37ed0fb45c7c072ef25fd7a09b49766b670a7810211ce1bc,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,1265,4660,2834,19812,214,3646,77,3623,436,2348,6,227,0.7824034334763948,0.7774678111587983,0.503862660944206
vivos,whisper,small,zero_shot,,42,5,460,0.32124463519313307,0.17312739753684636,0.06527340395075866,0.020815264527320035,0.21683673469387754,0.01762114537444934,aligned_v1,eef4a0ca75df1afd37ed0fb45c7c072ef25fd7a09b49766b670a7810211ce1bc,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,1497,4660,3430,19812,228,3493,72,3459,510,2352,4,227,0.7495708154506437,0.742274678111588,0.5047210300429185
vivos,whisper,small,zero_shot,,42,0,460,0.4927038626609442,0.3112255198869372,0.09384260783668094,0.023113528212100613,0.3455136012992286,0.030837004405286344,aligned_v1,eef4a0ca75df1afd37ed0fb45c7c072ef25fd7a09b49766b670a7810211ce1bc,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,2296,4660,6166,19812,285,3037,68,2942,851,2463,7,227,0.6517167381974249,0.6313304721030043,0.5285407725321889
vivos,whisper,small,zero_shot,,42,noisy_all,1840,0.33240343347639484,0.18797950736927116,0.06777594491859715,0.021791239921551537,0.22833649588867805,0.025330396475770924,aligned_v1,eef4a0ca75df1afd37ed0fb45c7c072ef25fd7a09b49766b670a7810211ce1bc,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,6196,18640,14897,79248,945,13943,300,13767,2166,9486,23,908,0.7480150214592275,0.7385729613733906,0.5089055793991416
vivos,whisper,small,zero_shot,,42,all,2300,0.3150214592274678,0.17542903290934786,0.06650871551870029,0.02124378961795443,0.2134450935568538,0.02555066079295154,aligned_v1,eef4a0ca75df1afd37ed0fb45c7c072ef25fd7a09b49766b670a7810211ce1bc,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,7340,23300,17378,99060,1179,17727,372,17511,2521,11811,29,1135,0.7608154506437769,0.7515450643776824,0.5069098712446352
